FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
100_2_Bounce_Slowdown.xml,100,2,Bounce,Slowdown,"Bounce.benchmark",94.5,"java.util.Arrays.setAll",5.4,"Benchmark.innerBenchmarkLoop",0.1,"Run.printResult",0.0,"Run.measure",0.0
100_2_CD_NoSlowdown.xml,100,2,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",19.4,"cd.Vector2D.compareTo",17.4,"cd.CollisionDetector.recurse",17.2,"cd.RedBlackTree.put",11.8,"cd.RedBlackTree.findNode",6.0
100_2_CD_Slowdown.xml,100,2,CD,Slowdown,"cd.RedBlackTree.treeInsert",19.1,"cd.CollisionDetector.recurse",19.1,"cd.Vector2D.compareTo",17.5,"cd.RedBlackTree.put",13.1,"cd.RedBlackTree.findNode",6.7
100_2_DeltaBlue_NoSlowdown.xml,100,2,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",59.2,"deltablue.Plan.execute",8.7,"som.Vector.forEach",6.6,"deltablue.EqualityConstraint.execute",4.9,"deltablue.ScaleConstraint.execute",2.2
100_2_DeltaBlue_Slowdown.xml,100,2,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",62.3,"deltablue.Plan.execute",9.5,"deltablue.EqualityConstraint.execute",8.0,"som.Vector.forEach",5.0,"deltablue.ScaleConstraint.execute",1.5
100_2_Havlak_NoSlowdown.xml,100,2,Havlak,NoSlowdown,"som.Vector.hasSome",30.9,"som.Vector.forEach",13.3,"som.Vector.append",12.1,"havlak.HavlakLoopFinder.findLoops",7.3,"havlak.SimpleLoop.setParent",6.5
100_2_Havlak_Slowdown.xml,100,2,Havlak,Slowdown,"som.Vector.hasSome",27.6,"som.Vector.append",20.4,"som.Vector.forEach",18.6,"havlak.HavlakLoopFinder.findLoops",7.1,"havlak.HavlakLoopFinder.stepD",4.0
100_2_Json_NoSlowdown.xml,100,2,Json,NoSlowdown,"json.JsonPureStringParser.read",22.5,"json.JsonPureStringParser.isWhiteSpace",13.5,"json.JsonPureStringParser.readStringInternal",11.9,"json.JsonPureStringParser.isDigit",6.5,"java.lang.StringBuilder.append",5.3
100_2_Json_Slowdown.xml,100,2,Json,Slowdown,"json.JsonPureStringParser.read",25.5,"json.JsonPureStringParser.isWhiteSpace",13.3,"json.JsonPureStringParser.readStringInternal",12.2,"json.JsonPureStringParser.isDigit",7.2,"java.lang.StringBuilder.append",5.8
100_2_List_NoSlowdown.xml,100,2,List,NoSlowdown,"List.isShorterThan",79.0,"List.tail",20.4,"List.makeList",0.5,"List$Element.length",0.1,"Benchmark.innerBenchmarkLoop",0.0
100_2_List_Slowdown.xml,100,2,List,Slowdown,"List.isShorterThan",82.2,"List.tail",17.4,"List.makeList",0.3,"List$Element.length",0.0,"Benchmark.innerBenchmarkLoop",0.0
100_2_Mandelbrot_NoSlowdown.xml,100,2,Mandelbrot,NoSlowdown,"Mandelbrot.mandelbrot",99.9,"Run.printResult",0.0,"Run.reportBenchmark",0.0,"java.lang.ClassLoader.loadClass",0.0,"",0
100_2_Mandelbrot_Slowdown.xml,100,2,Mandelbrot,Slowdown,"Mandelbrot.mandelbrot",99.9,"Run.printResult",0.0,"Run.reportBenchmark",0.0,"java.io.PrintStream.println",0.0,"",0
