------------------------------------------------------------------------------------------------------------
  Benchmark    Executor   Suite                     Extra   Core   Size   Var   #Samples   Mean (ms)  
------------------------------------------------------------------------------------------------------------
  List         Runner     NoSlowdown-50             10000      1            6                    500   178  
  Bounce       Runner     NoSlowdown-50             10000      1            6                    500   115  
  Bounce       Runner     NoSlowdown-50             10000      1            7                    500   115  
  Sieve        Runner     NoSlowdown-50             10000      1            7                    500   181  
  List         Runner     NoSlowdown-50             10000      1            7                    500   178  
  List         Runner     NoSlowdown-50             10000      1            8                    500   178  
  Bounce       Runner     NoSlowdown-50             10000      1            8                    500   114  
  Sieve        Runner     NoSlowdown-50             10000      1            8                    500   182  
  List         Runner     NoSlowdown-50             10000      1            9                    500   178  
  Bounce       Runner     NoSlowdown-50             10000      1            9                    500   115  
  Sieve        Runner     NoSlowdown-50             10000      1            9                    500   181  
  NBody        Runner     NoSlowdown-50           1200000      1            1                    500   108  
  NBody        Runner     NoSlowdown-50           1200000      1           10                    500   108  
  NBody        Runner     NoSlowdown-50           1200000      1            2                    500   109  
  NBody        Runner     NoSlowdown-50           1200000      1            3                    500   108  
  NBody        Runner     NoSlowdown-50           1200000      1            4                    500   108  
  NBody        Runner     NoSlowdown-50           1200000      1            5                    500   108  
  NBody        Runner     NoSlowdown-50           1200000      1            6                    500   108  
  NBody        Runner     NoSlowdown-50           1200000      1            7                    500   109  
  NBody        Runner     NoSlowdown-50           1200000      1            8                    500   108  
  NBody        Runner     NoSlowdown-50           1200000      1            9                    500   108  
  Storage      Runner     NoSlowdown-50              1800      1            1                    500   151  
  Storage      Runner     NoSlowdown-50              1800      1           10                    500   151  
  Storage      Runner     NoSlowdown-50              1800      1            2                    500   151  
  Storage      Runner     NoSlowdown-50              1800      1            3                    500   151  
  Storage      Runner     NoSlowdown-50              1800      1            4                    500   151  
  Storage      Runner     NoSlowdown-50              1800      1            5                    500   150  
  Storage      Runner     NoSlowdown-50              1800      1            6                    500   151  
  Storage      Runner     NoSlowdown-50              1800      1            7                    500   151  
  Storage      Runner     NoSlowdown-50              1800      1            8                    500   150  
  Storage      Runner     NoSlowdown-50              1800      1            9                    500   151  
  Towers       Runner     NoSlowdown-50              2500      1            1                    500   113  
  Towers       Runner     NoSlowdown-50              2500      1           10                    500   113  
  Towers       Runner     NoSlowdown-50              2500      1            2                    500   113  
  Towers       Runner     NoSlowdown-50              2500      1            3                    500   114  
  Towers       Runner     NoSlowdown-50              2500      1            4                    500   114  
  Towers       Runner     NoSlowdown-50              2500      1            5                    500   114  
  Towers       Runner     NoSlowdown-50              2500      1            6                    500   113  
  Towers       Runner     NoSlowdown-50              2500      1            7                    500   114  
  Towers       Runner     NoSlowdown-50              2500      1            8                    500   113  
  Towers       Runner     NoSlowdown-50              2500      1            9                    500   114  
  Permute      Runner     NoSlowdown-50              3500      1            1                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1           10                    500    97  
  Permute      Runner     NoSlowdown-50              3500      1            2                    500    97  
