FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
2_3_Havlak_Slowdown.xml,2,3,Havlak,Slowdown,"som.Vector.forEach",55.3,"havlak.HavlakLoopFinder.doDFS",13.6,"som.Vector.append",11.9,"havlak.HavlakLoopFinder.findLoops",7.4,"java.util.Arrays.copyOf",3.8
2_3_Json_Slowdown.xml,2,3,Json,Slowdown,"json.JsonPureStringParser.read",32.4,"json.JsonPureStringParser.skipWhiteSpace",16.6,"json.JsonPureStringParser.endCapture",15.2,"json.JsonPureStringParser.readDigit",13.1,"json.JsonPureStringParser.readChar",7.8
2_3_List_Slowdown.xml,2,3,List,Slowdown,"List.isShorterThan",90.5,"List.tail",8.5,"List.makeList",0.5,"List.benchmark",0.3,"List$Element.length",0.1
2_3_Richards_Slowdown.xml,2,3,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.3,"richards.Scheduler.schedule",16.4,"richards.RBObject.append",0.4,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
2_4_Havlak_Slowdown.xml,2,4,Havlak,Slowdown,"som.Vector.forEach",56.0,"havlak.HavlakLoopFinder.doDFS",13.2,"som.Vector.append",11.9,"havlak.HavlakLoopFinder.findLoops",7.7,"java.util.Arrays.copyOf",3.4
2_4_Json_Slowdown.xml,2,4,Json,Slowdown,"json.JsonPureStringParser.read",32.5,"json.JsonPureStringParser.endCapture",16.0,"json.JsonPureStringParser.skipWhiteSpace",15.8,"json.JsonPureStringParser.readDigit",13.6,"json.JsonPureStringParser.readChar",7.7
2_4_List_Slowdown.xml,2,4,List,Slowdown,"List.isShorterThan",91.2,"List.tail",8.0,"List.makeList",0.4,"List.benchmark",0.3,"List$Element.length",0.1
2_4_Richards_Slowdown.xml,2,4,Richards,Slowdown,"richards.TaskControlBlock.runTask",82.2,"richards.Scheduler.schedule",16.7,"richards.RBObject.append",0.2,"richards.Scheduler.start",0.1,"java.io.PrintStream.println",0.1
2_5_Havlak_Slowdown.xml,2,5,Havlak,Slowdown,"som.Vector.forEach",55.7,"havlak.HavlakLoopFinder.doDFS",13.6,"som.Vector.append",11.8,"havlak.HavlakLoopFinder.findLoops",7.9,"java.util.Arrays.copyOf",3.4
2_5_Json_Slowdown.xml,2,5,Json,Slowdown,"json.JsonPureStringParser.read",33.1,"json.JsonPureStringParser.skipWhiteSpace",17.4,"json.JsonPureStringParser.endCapture",13.8,"json.JsonPureStringParser.readDigit",13.7,"json.JsonPureStringParser.readChar",7.7
