FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
100_2_Richards_NoSlowdown.txt,100,2,Richards,NoSlowdown,"richards.Scheduler.schedule",19.10,"richards.TaskControlBlock.runTask",18.25,"richards.Scheduler$HandlerProcessFunction.apply",10.68,"richards.Scheduler$DeviceProcessFunction.apply",7.19,"richards.TaskState.isTaskHoldingOrWaiting",6.85
100_2_List_NoSlowdown.txt,100,2,List,NoSlowdown,"List$Element.getNext",45.11,"List.isShorterThan",42.03,"List.tail",11.91,"List.makeList",0.42,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.17
100_1_Json_NoSlowdown.txt,100,1,Json,NoSlowdown,"java.lang.String.equals",35.46,"java.lang.StringLatin1.toBytes",9.72,"java.lang.String.valueOf",7.43,"json.JsonPureStringParser.read",7.11,"json.JsonPureStringParser.readStringInternal",3.80
100_4_Havlak_NoSlowdown.txt,100,4,Havlak,NoSlowdown,"som.Vector.hasSome",33.58,"som.Vector.<init>",14.32,"som.Vector.append",6.25,"havlak.HavlakLoopFinder.findLoops",5.31,"havlak.UnionFindNode.initNode",3.27
100_10_Richards_NoSlowdown.txt,100,10,Richards,NoSlowdown,"richards.Scheduler.schedule",19.67,"richards.TaskControlBlock.runTask",18.02,"richards.Scheduler$HandlerProcessFunction.apply",10.79,"richards.TaskState.isTaskHoldingOrWaiting",8.37,"richards.Scheduler$DeviceProcessFunction.apply",6.69
100_7_List_NoSlowdown.txt,100,7,List,NoSlowdown,"List$Element.getNext",44.77,"List.isShorterThan",41.90,"List.tail",12.16,"List.makeList",0.50,"/home/hb478/repos/graal-instrumentation/sdk/mxbuild/linux-amd64/GRAALVM_LIBGRAAL_JAVA21/graalvm-libgraal-openjdk-21.0.2+13.1/lib/libjvmcicompiler.so",0.18
100_4_List_NoSlowdown.txt,100,4,List,NoSlowdown,"List$Element.getNext",44.03,"List.isShorterThan",43.06,"List.tail",11.68,"List.makeList",0.51,"java.lang.Integer.valueOf",0.19
100_7_Havlak_NoSlowdown.txt,100,7,Havlak,NoSlowdown,"som.Vector.hasSome",33.87,"som.Vector.<init>",14.13,"som.Vector.append",6.20,"havlak.HavlakLoopFinder.findLoops",5.38,"som.Vector.forEach",3.19
100_2_Havlak_NoSlowdown.txt,100,2,Havlak,NoSlowdown,"som.Vector.hasSome",33.51,"som.Vector.<init>",14.16,"som.Vector.append",6.03,"havlak.HavlakLoopFinder.findLoops",5.33,"havlak.UnionFindNode.initNode",3.23
100_9_Json_NoSlowdown.txt,100,9,Json,NoSlowdown,"java.lang.String.equals",34.50,"java.lang.StringLatin1.toBytes",10.37,"java.lang.String.valueOf",7.36,"json.JsonPureStringParser.read",6.92,"json.JsonPureStringParser.subStringFromTo",3.19
100_5_Havlak_NoSlowdown.txt,100,5,Havlak,NoSlowdown,"som.Vector.hasSome",33.93,"som.Vector.<init>",14.36,"som.Vector.append",6.26,"havlak.HavlakLoopFinder.findLoops",5.43,"havlak.UnionFindNode.initNode",3.03
